"text","label"
"درروزهای المپیک برنده خوش شانس جایزه روزانه میلیونی یا شارژ هزارتومانی سیم کات باشیدبا نصب آهنگ پیشواز شماره گیری یا برای آهنگ پیشواز بیشتر شماره گیری کپی آسان آهنگ پیشواز","spam"
"آموزش نسخه پیچی داروخانه تئوری عملی مدرک جهاد دانشگاهی","spam"
"آموزش فوریت های پزشکی تزریقات پانسمان و جهاد دانشگاهی","spam"
"مالک محترم خط ایرانسل دریافت این پیامک به منزله انتخاب شما برای قرعه کشی ریال جایزه است عضویت قطعی باارسال رایگان","spam"
"شاید این جمعه بیاید شاید حضرت خورشید ساقیا ساغر به دستان را بنگر ارسال کد به قیمت تومان شماره گیری کدآهنگ به آهنگ مورد علاقه ات گوش کن و نصب کن","spam"
"امروزی ترین اسم ها اسامی فرزندان مشاهیر نام های اصیل ایرانی و معنی نام ها عضویت درسرویس باارسال عدد","spam"
"مگابایت اینترنت رایگان درسرویس پازل عضویت باارسال عدد دریافت دانستنی های شگفت انگیز تومان تا ورود به قرعه کشی خودروی برلیانس","spam"
"پیشوازهای احساسی پیشنهاد امروزمابرای شما","spam"
"چشماتو ببند به کسی که دوستش داری فکرکن عدد","spam"
"قهرمان سنگین وزن وزنه برداری جهان کیه ایران گرجستان عضویت سرویس عجایب صدوپنجاه تومن","spam"
"گیگ اینترنت ایرانسل با ارسال","spam"
"شرکت در مسابقه رایگان قهرمانان من ویژه پارالمپیک با هزاران هدیه ارزنده به همراه اخبار و نتایج مسابقات دراپلیکیشن آپ","spam"
"محسن چاوشی از امیر بی گزند می گوید شیدایی چنگیز پریشان امیر بی گزند متصل ارسال کد پیشوازبه قیمت تومان شماره گیری کدآهنگ به آهنگ مورد علاقه ات گوش کن و نصب کن","spam"
"تومن شارژ ساعت بعدازورودبه اپ کلیپ تایم رابفرست روزی تومن ماه","spam"
"قرعه کشی روزانه سامسونگ گلکسی مشاهده شانس قرعه کشی[ENGLISH] اخبار مسابقات و جشنواره هاو درکانال تلگرام آپ [LINK_REMOVED]","spam"
"سرویس پانتومیم میدونستی فقط تو مجاز به عضو شدن در این سرویس شدی همین حالا رو بفرست صدتومن","spam"
"شادیهای کوچیک تقدیم به کسانی که باهات تماس میگیرن کجایی شکستم بریدم ماه و ماهی نم نم بارون ارسال کد به قیمت تومان","spam"
"با دوست داشتنی ترین پیشوازها مهمون شماییم گل بیتا قیدتو زدم","spam"
"عشق یعنی استخوان و یک پلاک شهید گمنام آی شهدا دلای ما تنگ براتون ما راینا الا جمیلا ارسال کد به قیمت تومان شماره گیری کدآهنگ به آهنگ موردعلاقه ات گوش کن و نصب کن","spam"
"پیشوازهای منتخب این هفته برای شما قلبم دردعمیق","spam"
"فقط برای مدت محدود برنده جوایزنقدی ارزشمند شویدبا ارسال رایگان به اشـتراک در سرویس ورزش بین الملل صدتومن","spam"
"این پیامک هدیه ای برای رفع خستگی شماست وقتی تومان شارژرایگان دریافت کنید باارسال دریافت ساعت بعد وعضویت سرویس رحمت صدوبیست تومان","spam"
"باز این چه شورش است که در خلق عالم است با ارسال [ENGLISH] به همین شماره پیام خاص محرمی داشته باشید و با گرامیداشت این ماه به استقبال مخاطبانتان بروید فعالسازی رایگان","spam"
"عاشقان اباعبدالله ع نوای سید مجید بنی فاطمه جان آقام خوشبختی یعنی حسین ع کربلادیدن داره واسه مجنون لیلایی باارسال کدبه قیمت تومان شنیدن نوا کدآهنگ","ham"
"محرم آمد و ماه عزا شد برترین نواهای پیشواز محرم غدیر خون محسن چاوشی ظهر عطش محسن چاوشی عمو با اب برمیگرده علی لهراسبی باارسال کدبه قیمت تومان","spam"
"تعداد محدود شما فقط یک عدد تا شانس بردن پژو فاصله دارید ثبت با ارسال درجشنواره ویترین تومن","spam"
"محرم آمد و ماه عزا شد دوباره شور عاشوار به پا شد عبدالمالکی علی اصغر طلیسچی روزنهم","ham"
"مــــظلوم کربــــــــلا حســــــــین ع با ارسال [ENGLISH] به همین شماره پیام خاص محرمی داشته باشید و با گرامیداشت این ماه به استقبال مخاطبانتان بروید فعالسازی رایگان","spam"
"عاشقان اباعبدالله ع نوای محمدرضاطاهری حسین جانم","ham"
"عشق گفتی کربلا آمد به یاد لبیک یا حسین یا کاشف الکرب","ham"
"ساعت دیگر سیم کارت شما شارژ میشود اگر هم اکنون را ارسال کنید میزان بسته تومان عضویت سرویس تقویم صدوبیست تومان","spam"
"سلام برحسین مظلوم بی تابی رقیه بیاتی زیربارون شریفی معدن عشق زارع بی تاب کربلا بذری ارسال کد به قیمت تومان","spam"
"پیام صوتی جدید شما ذخیره شد شنیدن پیام با ارسال رایگان","spam"
"ثبت نام دانشپذیری کارشناسی ارشد ظرفیت محدود جهاددانشگاهی","spam"
"شارژ رایگان تومانی ویژه شماره با ارسال رایگان عدد شرکت در کمپین رخصت و دعوت از دوستان صد تومن","spam"
"حسین قتیل العبرات نعم الامیر یزدخاستی توکربلای تو اصلانی هواتوکردم میرزایی السلام طارق ارسال کد به قیمت تومان","spam"
"فرصت برد شارژ هزار تومانی ثبت نام با ارسال","spam"
"شمامیتوانید معادل تومان سیم کارت خودرارایگان شارژ کنید امروز راارسال کنید ساعت بعدهدیه خودرابگیرید عضویت درسرویس رحمت تومان","spam"
"با بدون نیاز به قبض هزینه موبایلتو پرداخت کن و [ENGLISH] ببر","spam"
"حال خوب امروز با برترین و پرفروش ترین پیشوازهای هفته اشوان چه خوبه حالم پاشایی قلبم روتکراره لهراسبی بارون ارسال به تومان","spam"
"شارژ رایگان تومانی ویژه شماره با ارسال رایگان عدد شرکت در سرویس رخصت و دعوت از ده دوست صد تومن","spam"
"در آخر هفته خوب و پرانرژی خود با برترین پیشوازها به استقبال دوستانتان بروید اشوان چه خوبه حالم مقدم منو باش پاشایی قلبم رو تکراره ارسال کد به تومان","spam"
"فال امروزتو گوش کن با ارسال رایگان","spam"
"شما یک پیغام صوتی جدید دارید جهت دریافت پیغام وشارژ رایگان تومانی عدد را ارسال فرمایید عضویت سرویس رخصت باهزینه صد تومن","spam"
"دوستات شاید ترجیح بدن به جای صدای بوق بوق یه آهنگ زیبا بشنون و یه انتظار لذتبخش رو تجربه کنن اشوان چه خوبه حالم شکوهی مقدس ارسال به تومان","spam"
"ایرانسلی ها فقط امروز فرصت دارید صاحب تومان شارژ رایگان شوید تنهاباارسال وعضویت در قرعه کشی سرویس کوثر نودونه تومن","spam"
"آموزش کار در داروخانه عملی تئوری مدرک معتبر جهاددانشگاهی","spam"
"آموزه های عاشورایی تصویر باارسال عدد و عضویت در این سرویس تحول عظیمی را در زندگیت تجربه کن تومن","spam"
"هدیه ویژه مگابایت اینترنت تومن شارژ بدون قرعه کشی برای همه باارسال عدد","spam"
"این شماره شماست و این پیشنهاد ویژه ما برای شما ست من از شوق بارون به دریا زدم دنیامو عوض کن ارسال عدد به روز تومان انتخاب یکی از این پیشوازها شانس بیشتربرای رسیدن به[ENGLISH]","spam"
"شمامیتوانید معادل تومان سیم کارت خودرا رایگان شارژکنید باعضویت درسرویس قرعه کشی اختراعات اعجاب آور نودونه تومن","spam"
"پیشوازهای به یادمادندنی از مرتضی پاشایی در دومین سالگرد درگذشت قلبم رو تکراره","spam"
"حرف دلت رو با بهترین پیشوازها به گوشش برسون می بخشم مرتضی پاشایی","spam"
"مگابایت اینترنت هدیه کاملا رایگان برای همه بدون قرعه کشی دریافت باارسال عدد","spam"
"هدیه بسته اینترنتی مگی به نفر اول عضویت در سرویس سفر در زمان با ارسال","spam"
"نسیم اولین شبکه اجتماعی مذهبی ایرانسل همراه با اعتبار نامحدود رایگان ماهیانه و قرعه کشی شمش طلا اشتراک با ارسال","spam"
"یه پیشواز عالی برای آخر هفته و یه حس خوب تقدیم به بهترین دوستات ابراهیمی جدایی لهراسبی شرشربارون ارسال به تومان","spam"
"اربعین آمد دلم را غم گرفت بهترین آهنگ های پیشواز اربعین کاروان اربعین شد حسین جانم اربعین ارسال کد به قیمت تومان برای دانلود بیشتر","spam"
"بازی دره یادبود رو فقط از بازیک رایگان دانلود کن [LINK_REMOVED]","spam"
"یک بازی پر از استرس و هیجان[ENGLISH] [ENGLISH] دانلود [LINK_REMOVED]","spam"
"مالک خط شما یک فایل تصویری دیده نشده دارید باارسال رایگان آنرادریافت کنید با عضویت در سرویس باور و قرعه کشی تومن","spam"
"میلیون ریال پول نقدجایزه این ماه تراکنش از واپلیکیشن آپ","spam"
"گردون شده سیاه فضا پر زدود و آه پیشواز سوگواری ماه صفر ای پادشاه حسن ای حسن بندگی امام حسن علیه السلام هم قدم","spam"
"وقت معتبر شدنه [ENGLISH] [ENGLISH] [ENGLISH] شما هم می توانید با مراجعه به سامانه فوق با حفظ شماره فعلی همراه اولی شده و از مزایای زیر بهره مند شوید کاهش هزینه مکالمه با تلفن ثابت پوشش سراسری و با کیفیت مکالمه اینترنت پرسرعت با پوشش بیش از شهر و دهستان","spam"
"دل خسته و رسته از هرچه گسسته خواهان شماییم یاضامن آهو نسیم اولین اپ مذهبی ایرانسل دریافت از چارخونه [LINK_REMOVED]","spam"
"ویژه دوستاداران حسینی عضوسرویس شعرآئینی بشید تا شانس خودتون رو برای برنده شدن نشان طلا میلیون ریالی امتحان کنین ارسال","spam"
"مالک خط شما یک فایل تصویری دیده نشده دارید باارسال رایگان آنرادریافت کنید شرکت در سرویس باور ماو قرعه کشی تومن","spam"
"با تبریک آذر سالروز تصویب قانون اساسی جمهوری اسلامی ایران متن این میثاق ملی را به هموطنان عزیز تقدیم می داریم معاونت حقوقی ریاست جمهوری دانلود متن کتاب [LINK_REMOVED] دانلود نرم افزار اندروید [LINK_REMOVED]","spam"
"مگابایت اینترنت هدیه بدون قرعه کشی رایگان برای همه باارسال دریافت ساعته در اپ زعفرون روزی سیصد تومان تا ماه","spam"
"صاحب تومان شارژ رایگان شوید با ارسال رایگان","spam"
"پیشوازهای به یاد ماندنی احسان خواجه امیری همراه با قرعه کشی سکه طلا و [ENGLISH] غریبانه نا برده رنج","spam"
"شارژهدیه شب یلدای ایرانسلیها تامین است تومان اعتبارهدیه رایگان ساعته دریافت باارسال","spam"
