"text","label"
"کاربر گرامی، داروساز گرامی، صورتحساب جدیدی در سامانه معلمان ثبت شده است. برای مشاهده جزئیات، هویت خود را تأیید نمایید.","spam"
"سلام، جهت بازیابی رمز عبور شما به کد ۶ رقمی نیاز داریم. لطفاً آن را بفرستید.","spam"
"مشترک گرامی، نام شما در فهرست واجدان شرایط هدیه فصلی ثبت شده است. برای دریافت، ثبت‌نام را تکمیل کنید.","spam"
"همراه گرامی، فروشنده عزیز، درخواست تراکنش جدیدی در سامانه طبیب در انتظار تأیید شماست.","spam"
"با سلام، شماره شما در قرعه‌کشی فصلی انتخاب شده است. برای مشاهده نتیجه به لینک مراجعه کنید.","spam"
"مهندس گرامی، صورتحساب جدیدی در سامانه معلمان ثبت شده است. برای مشاهده جزئیات، هویت خود را تأیید نمایید.","spam"
"کاربر عزیز، پشتیبانی صرافی: درخواست برداشت ۵۰۰ میلیون ریال از حساب شما ثبت شد. اگر شما نبودید، فوراً حساب را امن کنید.","spam"
"کاربر عزیز، فروشنده عزیز، درخواست تراکنش جدیدی در سامانه باربری در انتظار تأیید شماست.","spam"
"با سلام، ورود مشکوک به حساب شما داشتیم. برای تأیید هویت، کد ارسال‌شده به گوشی‌تان را بدهید.","spam"
"با سلام، اخطاریه‌ای از سوی مراجع برای شما ارسال شده است. برای جلوگیری از عواقب، فوراً وارد سامانه شوید.","spam"
"به پاس قدردانی، یک هدیه ویژه به شماره شما اختصاص یافته است. برای مشاهده وارد شوید.","spam"
"با سلام، به پاس قدردانی، یک هدیه ویژه به شماره شما اختصاص یافته است. برای مشاهده وارد شوید.","spam"
"با سلام، برای جلوگیری از هک شدن، کد ۶ رقمی ارسال‌شده را به پشتیبانی اعلام کنید.","spam"
"همراه گرامی، شماره شما در قرعه‌کشی فصلی انتخاب شده است. برای مشاهده نتیجه به لینک مراجعه کنید.","spam"
"مشترک گرامی، برای جلوگیری از هک شدن، کد ۶ رقمی ارسال‌شده را به پشتیبانی اعلام کنید.","spam"
"مشتری گرامی، با خرید بیمه‌نامه اول می‌توانید از تخفیف تمدید نیز بهره‌مند شوید. جزئیات در پنل شماست.","ham"
"با سلام، سلام، جهت بازیابی رمز عبور شما به کد ۶ رقمی نیاز داریم. لطفاً آن را بفرستید.","spam"
"یادآوری: نوبت ویزیت شما فردا ساعت ۱۴ است. جهت لغو عدد ۱ را ارسال کنید.","ham"
"با سلام، پشتیبانی صرافی: درخواست برداشت ۵۰۰ میلیون ریال از حساب شما ثبت شد. اگر شما نبودید، فوراً حساب را امن کنید.","spam"
"نوبت دندانپزشکی شما پنجشنبه ساعت ۱۴ ثبت شده است. برای لغو یا جابه‌جایی عدد ۲ را بفرستید.","ham"
"با سلام، اکانت شما هک شده است. کد ۶ رقمی که برایتان پیامک شد را بفرستید تا برگردانیمش.","spam"
"کاربر عزیز، پشتیبانی صرافی: درخواست برداشت ۸۰ میلیون تومان از حساب شما ثبت شد. اگر شما نبودید، فوراً حساب را امن کنید.","spam"
"بیمه شما با موفقیت تمدید شد و تا سال آینده معتبر است. از همراهی شما سپاسگزاریم.","ham"
"سلام، شهروند گرامی، ابلاغیه‌ای الکترونیکی برای شما ثبت شده است. برای مشاهده، کد ملی و رمز خود را وارد کنید.","spam"
"یادآوری نوبت آزمایشگاه: فردا ساعت ۱۷:۳۰. برای جابه‌جایی با مرکز تماس بگیرید.","ham"
"کاربر گرامی، داروساز گرامی، صورتحساب جدیدی در سامانه طبیب ثبت شده است. برای مشاهده جزئیات، هویت خود را تأیید نمایید.","spam"
"کاربر عزیز، حساب شما به عنوان یکی از برندگان کمپین اخیر معرفی شده است. جزئیات هدیه در پنل شماست.","spam"
"سلام، تبریک می‌گوییم! شماره شما در میان دریافت‌کنندگان جایزه این ماه قرار گرفته است. برای مشاهده جزئیات وارد شوید.","spam"
"مشتری گرامی، با خرید بیمه‌نامه اول می‌توانید از تخفیف تمدید نیز بهره‌مند شوید. جزئیات در پنل شماست.","ham"
"پزشک عزیز، درخواست تراکنش جدیدی در سامانه معلمان در انتظار تأیید شماست.","spam"
"با سلام، حساب کاربری شما در معرض خطر است. کد یکبارمصرف دریافتی را همین حالا ارسال کنید.","spam"
"کاربر گرامی، ورود مشکوک به حساب شما داشتیم. برای تأیید هویت، کد ارسال‌شده به گوشی‌تان را بدهید.","spam"
"با سلام، برای جلوگیری از هک شدن، کد ۶ رقمی ارسال‌شده را به پشتیبانی اعلام کنید.","spam"
"نام شما در فهرست واجدان شرایط هدیه فصلی ثبت شده است. برای دریافت، ثبت‌نام را تکمیل کنید.","spam"
"یادآوری: نوبت ویزیت شما فردا ساعت ۱۱ است. جهت لغو عدد ۱ را ارسال کنید.","ham"
"نوبت دندانپزشکی شما پنجشنبه ساعت ۱۱ ثبت شده است. برای لغو یا جابه‌جایی عدد ۲ را بفرستید.","ham"
