"text","label"
"با تشکر از حضور شما در جلسه، خلاصه مصوبات پیوست شده است.","ham"
"مشتری گرامی، مبلغ قابل توجهی به عنوان پاداش وفاداری برای شما محاسبه شده است. برای جلوگیری از لغو اعتبار، تا ۱۲ ساعت آینده اقدام کنید. برای جلوگیری از مسدود شدن، هویت خود را تأیید کنید.","spam"
"روزی‌ات در راه است. نذر حضرت معصومه؛ برای ۱۰ نفر بفرست و حاجتت را بگیر.","spam"
"مبلغ ۱۰۰ میلیون ریال به عنوان اعتبار هدیه برای حساب شما ثبت شده است. در صورت عدم استفاده تا مهلت اعلام‌شده، اعتبار شما حذف خواهد شد. برای تکمیل مراحل، اطلاعات موردنیاز را ارسال نمایید.","spam"
"با سلام، مبلغی به عنوان بازگشت وجه برای حساب شما در نظر گرفته شده است. برای تکمیل مراحل، اطلاعات موردنیاز را ارسال نمایید.","spam"
"مشتری گرامی، برای شما یک هدیه نقدی به ارزش ۱۰۰ میلیون ریال در نظر گرفته شده است. لطفاً پیش از ۴۸ ساعت آینده اقدام فرمایید. جهت انتقال این مبلغ، اطلاعات حساب خود را به‌روزرسانی کنید.","spam"
"سلام، لینک جلسه آنلاین فردا ساعت ۱۴ خدمت شما ارسال شد.","ham"
"یک بسته خدماتی با قیمت بسیار پایین‌تر از حالت عادی برای شما فعال شده است. این پیشنهاد تنها تا پایان این ماه معتبر است.","spam"
"پیرو جلسه، پیش‌فاکتور داشبورد فروش ارسال شد. منتظر تأیید شما برای شروع هستیم.","ham"
"سلام دکتر موسوی، ممنون بابت ارسال گزارش. فقط بخش جمع‌بندی نیاز به تکمیل دارد.","ham"
"سلام، نسخه نهایی سند پروژه رها بارگذاری شد. منتظر نظرات شما هستم.","ham"
"سلام، لینک جلسه آنلاین فردا ساعت ۱۰ خدمت شما ارسال شد.","ham"
"مبلغ قابل توجهی به عنوان پاداش وفاداری برای شما محاسبه شده است. برای جلوگیری از لغو اعتبار، تا مهلت اعلام‌شده اقدام کنید. برای جلوگیری از مسدود شدن، هویت خود را تأیید کنید.","spam"
"مبلغی به عنوان بازگشت وجه برای حساب شما در نظر گرفته شده است. برای فعال‌سازی، مشخصات خود را تکمیل کنید.","spam"
"مشتری عزیز، مبلغ یک میلیون تومان به عنوان اعتبار هدیه برای حساب شما ثبت شده است. عدم انجام این کار ممکن است منجر به محدود شدن حساب شود.","spam"
"به نظر می‌رسد اشتراک شما در آستانه تمدید است. اگر قصد ادامه استفاده ندارید، تا پایان این ماه اقدام کنید.","spam"
"کاربر محترم، برخی اطلاعات حساب شما با سوابق ثبت‌شده مطابقت ندارد. برای جلوگیری از مسدود شدن، اقدام فرمایید.","spam"
"مبلغی به عنوان هدیه ویژه به حسابتان اضافه شده است. برای استفاده، مشخصات حساب را وارد کنید.","spam"
"برن ده ویژه! برای واری ز ثبت نا م خود اقدام کنید.","spam"
