text,label
"سرویس امنیتی, به دلیل بروزرسانی سیستم, دسترسی شما موقتا محدود شده است. برای بازگردانی آن‌ها وارد شوید: account-verify.net",spam
"سرویس امنیتی, به دلیل بروزرسانی سیستم, پیام‌های شما در صف بررسی مانده‌اند. برای مشاهده پیام‌ها وارد شوید: secure-panel.com",spam
"با سلام, بسته پستی شما به دلیل وزن بیش از حد در انبار ما نگهداری می‌شود. برای هماهنگی ارسال روی لینک کلیک کنید.",spam
"سفارش شما با موفقیت ثبت شد. برای رهگیری مرسوله, کد رهگیری را در پنل کاربری مشاهده کنید.",ham
"متقاضی گرامی, آزمون استخدامی روز پنجشنبه ساعت ۹ در محل شرکت برگزار می‌شود. حضور به همراه کارت شناسایی الزامی است.",ham
"با سلام, جهت بهبود خدمات, فرم نظرسنجی پایان دوره برای شما ارسال شده است. با تشکر از همراهی شما.",ham
"همراه گرامی, نگهداشت سیستم بانکی از ساعت ۲ تا ۴ بامداد انجام می‌شود. در این بازه ممکن است اختلال موقتی پیش بیاید.",ham
"با سلام, فاکتور خرید شما در پروفایل بارگذاری شد. در صورت نیاز به تغییر, با پشتیبانی تماس بگیرید.",ham
"به کاربر گرامی, ما یک تلاش مشکوک برای ورود به حساب شما از دستگاه ناشناس شناسایی کردیم. برای حفظ امنیت, رمز عبور را تغییر دهید.",spam
"از طرف مدیر پروژه, یک سند مهم در اتوماسیون با شما به اشتراک گذاشته شده. برای مشاهده سند, وارد حساب خود شوید.",spam
"تبریک می‌گوییم! شما برنده کارت هدیه ۵ میلیونی شده‌اید. برای دریافت جایزه, فرم زیر را تکمیل کنید.",spam
"با سلام, بسته پستی شما به دلیل آدرس ناقص در انبار ما نگهداری می‌شود. برای هماهنگی ارسال روی لینک کلیک کنید.",spam
"کاربر گرامی, حساب شما در تلگرام به دلیل نقض قوانین در معرض حذف است. برای رفع انسداد اطلاعات خود را تایید کنید.",spam
"کاربر محترم, درخواست انتقال وجه به مبلغ 5200,000 تومان از حساب شما ثبت شده. اگر این درخواست را شما انجام نداده‌اید, با پشتیبانی تماس بگیرید و اطلاعات کارت را وارد کنید.",spam
"کاربر گرامی, حساب شما در اپل به دلیل تلاش برای ورود از دستگاه ناشناس معلق شده است. برای رفع انسداد همین حالا اقدام کنید.",spam
"به کاربر گرامی, ما یک تلاش مشکوک برای ورود به حساب شما از دستگاه ناشناس شناسایی کردیم. برای حفظ امنیت, روی لینک زیر کلیک کنید.",spam
"حواله‌ای به ارزش ۲.۵ میلیون پوند از حساب راکد یک متوفی به شما رسیده. برای تکمیل مراحل انتقال, هزینه اداری را واریز کنید.",spam
"کاربر گرامی, حساب شما در دیجی‌کالا به دلیل عدم تایید اطلاعات در معرض حذف است. برای احراز هویت اطلاعات خود را تایید کنید.",spam
"با سلام, جهت بهبود خدمات, فرم نظرسنجی پایان دوره برای شما ارسال شده است. با تشکر از همراهی شما.",ham
"سفارش شما با موفقیت ثبت شد. برای رهگیری مرسوله, کد رهگیری را در پنل کاربری مشاهده کنید.",ham
"کاربر محترم, درخواست خرید به مبلغ 6100,000 تومان از حساب شما ثبت شده. اگر این درخواست را شما انجام نداده‌اید, با پشتیبانی تماس بگیرید و اطلاعات کارت را وارد کنید.",spam
"کاربر محترم, درخواست برداشت به مبلغ 7200,000 تومان از حساب شما ثبت شده. اگر این درخواست را شما انجام نداده‌اید, فورا روی لینک لغو کلیک کنید.",spam
"کاربر عزیز, بسته اینترنت شما با موفقیت تمدید شد. از همراهی شما سپاسگزاریم.",ham
"با سلام, درخواست استخدام شما در مرحله بررسی است. در صورت تایید اولیه برای مصاحبه تماس خواهیم گرفت.",ham
"همکار گرامی, شرکت ما به دنبال نیروی دورکار است. بدون نیاز به سابقه کار. برای شروع, اطلاعات حساب خود را جهت واریز حقوق بفرستید.",spam
"مشتری گرامی, صورتحساب این دوره شما صادر شد. جزئیات در اپلیکیشن قابل مشاهده است.",ham
"همکار محترم, با سلام. مایکروسافت اخیراً قوانین جدیدی برای حریم خصوصی وضع کرده. برای ادامه استفاده از خدمات, روی لینک زیر کلیک کنید.",spam
