text,label
thanks بابت فایل,ham
بدون تجربه ماهی ۵۰ میلیون درآمد داشته باشید. همین حالا شروع کنید.,spam
جشنواره فروش لپ تاپ! ۵۰٪ تخفیف. ارسال رایگان. فرصت را از دست ندهید.,spam
مشترک گرامی، کارت شما غیرفعال شده است. جهت جلوگیری از قطع، رمز پویا را ارسال کنید.,spam
سلام، نمره میانترم کی اعلام میشه؟,ham
سفته شما صادر شده است. جهت جلوگیری از ارجاع به مراجع قضایی فورا اقدام کنید.,spam
سلام، رسیدم خونه. خبرت می کنم.,ham
ممنون که وقت گذاشتید استاد.,ham
"ghore kashi bozorg! shoma barande shodid, click konid",spam
عزیز درگاه بانکی، اشتراک شما مسدود شده است. قبل از غیرفعال شدن، اطلاعات کارت را وارد نمایید.,spam
کسب درآمد روزانه از تلگرام بدون تجربه! ثبت نام رایگان، ظرفیت محدود.,spam
سلام، ثبت نام دوره آموزشی رایگان تیم فنی تا پنجشنبه باز است. لطفا فرم را تکمیل کنید.,ham
سلام، برنده مسابقه کتابخوانی کتابخانه شرکت مشخص شد. اسامی در کانال داخلی اعلام می گردد.,ham
فروش ویژه موبایل با ۵۰ درصد تخفیف فقط تا پایان هفته. همین الان سفارش دهید و رایگان تحویل بگیرید.,spam
سلام، برای شرکت در دوره رایگان مهارت های نرم لطفا با واحد آموزش هماهنگ کنید.,ham
فروش ویژه مبلمان با ۸۰ درصد تخفیف فقط تا پایان هفته. همین الان سفارش دهید و رایگان تحویل بگیرید.,spam
ممنون,ham
سلام، جزوه امروز رو کسی داره؟,ham
وام فوری بدون ض ا م ن همین حالا,spam
bye، شب بخیر,ham
thanks بابت فایل,ham
سلام، فاکتور جایزه مسابقه داخلی شرکت را پیوست کردم. لطفا تایید کنید تا پرداخت شود.,ham
thanks بابت فایل,ham
پرونده شکایت شما دارای بدهی است. جهت جلوگیری از جریمه فورا اقدام کنید.,spam
مشترک گرامی، اشتراک شما غیرفعال شده است. برای جلوگیری از مسدود شدن، کد تایید را بفرستید.,spam
سلام، جزوه امروز رو کسی داره؟,ham
سلام، جلسه دوشنبه ساعت 12 در اتاق کنفرانس برگزار می شود. لطفا حضور داشته باشید.,ham
مشترک گرامی، کارت هدیه شما مسدود شده است. جهت جلوگیری از قطع، اطلاعات خود را تایید کنید.,spam
فروش ویژه عطر و ادکلن با ۷۰ درصد تخفیف فقط تا فردا. همین الان سفارش دهید و رایگان تحویل بگیرید.,spam
منتظرتم,ham
بدون تجربه ماهی ۲۰ میلیون درآمد داشته باشید. همین حالا شروع کنید.,spam
بدون سرمایه ماهی ۲۰ میلیون درآمد داشته باشید. همین حالا شروع کنید.,spam
یارانه شما صادر شده است. جهت جلوگیری از ارجاع به مراجع قضایی فورا اقدام کنید.,spam
فرصت ویژه بیت کوین. سود ۴۰٪ ماهانه. ظرفیت محدود. عضویت در کانال.,spam
سفته شما در انتظار اقدام است. جهت جلوگیری از مسدودی فورا اقدام کنید.,spam
با سلام، فاکتور فروش شماره 2023 صادر شد. در صورت مغایرت اطلاع دهید. با تشکر,ham
سهام عدالت شما دارای بدهی است. جهت جلوگیری از مسدودی فورا اقدام کنید.,spam
پرونده مالیاتی شما دارای بدهی است. جهت جلوگیری از مسدودی فورا اقدام کنید.,spam
فرصت ویژه ترید. سود ۳۰٪ ماهانه. ظرفیت محدود. عضویت در کانال.,spam
همکاران گرامی، طرح بیمه تکمیلی کارکنان در سامانه داخلی بارگذاری شد.,ham
سلام مریم جان، جزوه جلسه قبل رو برات فرستادم. اگه سوالی داشتی بپرس.,ham
یارانه شما نیاز به پیگیری دارد. جهت جلوگیری از ارجاع به مراجع قضایی فورا اقدام کنید.,spam
با خبر شدیم شما برنده ۲۰ میلیون تومان شدید. عدد ۱ را به ۳۰۰۰ بفرستید.,spam
کاربر محترم اپراتور شما، سیم‌کارت شما نیاز به بازبینی دارد. در غیر این صورت حساب مسدود می‌شود، روی لینک زیر کلیک کنید.,spam
همراه عزیز اپراتور شما، کارت هدیه شما مسدود شده است. در غیر این صورت حساب مسدود می‌شود، مشخصات را به‌روزرسانی کنید.,spam
کار داری زنگ بزن,ham
💰 وام فوری بدون چک ✅ فقط با یک کلیک همین حالا,spam
سرمایه گذاری امن با سود هفتگی ۱۰٪. مشاوره اولیه بدون هزینه.,spam
فروش ویژه لپ تاپ با ۷۰ درصد تخفیف فقط تا ۴۸ ساعت آینده. همین الان سفارش دهید و رایگان تحویل بگیرید.,spam
لطفا فرم نظرسنجی رضایت کارکنان را تا پایان هفته تکمیل فرمایید. با تشکر از مشارکت شما.,ham
وام فوری ب د و ن ضامن همین حالا,spam
"lottery board! you won, click here begirid",spam
سلام مهندس موسوی، فایل لیست حضور را پیوست کردم. لطفا تا دوشنبه بررسی کنید. ممنون,ham
سلام، خوبی؟ فردا میای دانشگاه؟,ham
عزیز بانک سپه، کارت هدیه شما نیاز به تمدید دارد. برای ادامه استفاده، اطلاعات کارت را وارد نمایید.,spam
کاربر محترم، حساب بانکی شما مسدود شده است. جهت جلوگیری از قطع، مشخصات را به‌روزرسانی کنید.,spam
مشترک گرامی همراه اول، حساب بانکی شما نیاز به بازبینی دارد. در غیر این صورت حساب مسدود می‌شود، اطلاعات خود را تایید کنید.,spam
اوکی، فردا میبینمت.,ham
سلام آقای رضایی، فایل نتایج نظرسنجی را پیوست کردم. لطفا تا فردا بررسی کنید. ممنون,ham
پرونده مالیاتی شما در انتظار اقدام است. جهت جلوگیری از جریمه فورا اقدام کنید.,spam
حراج لوازم ورزشی! ۸۰٪ تخفیف. ارسال رایگان. تعداد محدود.,spam
ابلاغیه قضایی شما نیاز به پیگیری دارد. جهت جلوگیری از مسدودی فورا اقدام کنید.,spam
مرسوله پستی شما نیاز به پیگیری دارد. جهت جلوگیری از ارجاع به مراجع قضایی فورا اقدام کنید.,spam
"lottery board! you won, click here begirid",spam
پرونده مالیاتی شما در انتظار اقدام است. جهت جلوگیری از مسدودی فورا اقدام کنید.,spam
برنده شدید جایزه خود را دریافت ک ن ی د,spam
سفته شما نیاز به پیگیری دارد. جهت جلوگیری از جریمه فورا اقدام کنید.,spam
سلام مهندس موسوی، فایل برآورد هزینه را پیوست کردم. لطفا تا دوشنبه بررسی کنید. ممنون,ham
سلام، خوبی؟ فردا میای دانشگاه؟,ham
✅ وام فوری بدون ضامن ⏰ فقط با کارت ملی همین حالا,spam
با خبر شدیم شما برنده ۱۰۰ میلیون ریال شدید. عدد ۱ را به ۳۰۰۰ بفرستید.,spam
فرصت ویژه ارز دیجیتال. سود ۴۰٪ ماهانه. ظرفیت محدود. عضویت در کانال.,spam
سلام دکتر علوی، فایل لیست حضور را پیوست کردم. لطفا تا شنبه بررسی کنید. ممنون,ham
سرمایه گذاری مطمئن با سود روزانه تضمینی. مشاوره اولیه بدون هزینه.,spam
شما انتخاب شده اید ت م ا س بگیرید,spam
🎁 وام فوری بدون چک ⏰ فقط با شماره تماس همین حالا,spam
فرصت ویژه ترید. سود ۳۰٪ ماهانه. ظرفیت محدود. عضویت در کانال.,spam
یادآوری: جلسه کمیته مالی فردا برگزار می گردد.,ham
مژده! شما برنده یک خودروی سواری شدید. فرم دریافت را تکمیل کنید.,spam
سلام، جلسه پنجشنبه ساعت 11 در اتاق کنفرانس برگزار می شود. لطفا حضور داشته باشید.,ham
🎁 وام فوری بدون چک 🔥 فقط با شماره تماس همین حالا,spam
مشترک گرامی، سیم‌کارت شما معلق شده است. برای ادامه استفاده، مشخصات را به‌روزرسانی کنید.,spam
همکاران گرامی، طرح رفاهی کارکنان در سامانه داخلی بارگذاری شد.,ham
گواهی مالیاتی شما دارای بدهی است. جهت جلوگیری از مسدودی فورا اقدام کنید.,spam
با سلام، پاداش عملکرد فصلی کارکنان در جلسه شورای اداری تصویب شد.,ham
🎁 وام فوری بدون ضامن 🔥 فقط با شماره تماس همین حالا,spam
باشه,ham
تبریک ویژه شما برنده یک خودروی سواری شدید. عدد ۱ را به ۳۰۰۰ بفرستید.,spam
کار در منزل ماهی ۸۰ میلیون درآمد داشته باشید. همین حالا شروع کنید.,spam
خبر خوش! شما برنده ۵۰ میلیون تومان شدید. برای دریافت همین حالا کلیک کنید.,spam
وام فوری بدون ضامن همین ح ا ل ا,spam
مرسوله پستی شما صادر شده است. جهت جلوگیری از مسدودی فورا اقدام کنید.,spam
همکاران گرامی، طرح بیمه تکمیلی کارکنان در سامانه داخلی بارگذاری شد.,ham
کسب درآمد روزانه از اینترنت بدون تجربه! ثبت نام رایگان، ظرفیت محدود.,spam
فایل تمرین رو آپلود کردم، چک کنید لطفا.,ham
جایزه بزرگ پویش به شماره شما تعلق گرفت. جهت دریافت جایزه روی لینک بزنید.,spam
سلام آقای محمدی، فایل پیش نویس قرارداد را پیوست کردم. لطفا تا پایان هفته بررسی کنید. ممنون,ham
سلام دکتر علوی، فایل مستندات فنی را پیوست کردم. لطفا تا پایان هفته بررسی کنید. ممنون,ham
همکاران عزیز، خرید از فروشگاه رفاهی با تخفیف کارکنان از شنبه فعال می شود.,ham
🎉 وام فوری با کارت ملی ⏰ فقط با یک کلیک همین حالا,spam
با سلام، پیش فاکتور شماره 2657 صادر شد. در صورت مغایرت اطلاع دهید. با تشکر,ham
وام فوری ب د و ن ضامن همین حالا,spam
برنده ش د ی د جایزه خود را دریافت کنید,spam
فرصت ویژه فارکس. سود ۲۵٪ ماهانه. ظرفیت محدود. عضویت در کانال.,spam
همکاران گرامی، طرح بیمه تکمیلی کارکنان در سامانه داخلی بارگذاری شد.,ham
پرونده شکایت شما در انتظار اقدام است. جهت جلوگیری از جریمه فورا اقدام کنید.,spam
سلام، فاکتور جایزه مسابقه داخلی شرکت را پیوست کردم. لطفا تایید کنید تا پرداخت شود.,ham
سلام خانم احمدی، فایل گزارش ماهانه را پیوست کردم. لطفا تا پایان هفته بررسی کنید. ممنون,ham
با سلام، پیش فاکتور شماره 6143 صادر شد. در صورت مغایرت اطلاع دهید. با تشکر,ham
🎉 وام فوری نقدی ✅ فقط با کارت ملی همین حالا,spam
کاربر محترم، کارت هدیه شما در انتظار تایید است. برای ادامه استفاده، اطلاعات خود را تایید کنید.,spam
با خبر شدیم شما برنده گوشی هوشمند شدید. عدد ۱ را به ۳۰۰۰ بفرستید.,spam
سلام آقای حسینی، فایل نتایج نظرسنجی را پیوست کردم. لطفا تا شنبه بررسی کنید. ممنون,ham
سلام، موضوع پایاننامه رو تایید می کنید؟,ham
جایزه بزرگ قرعه کشی به شماره شما تعلق گرفت. برای دریافت همین حالا کلیک کنید.,spam
