text,label
"ک.ی.ر تو دهنت عوضی",Hate
"برو گمشو ک_ث_ا_ف_ت",Hate
"ج.ن.د.ه هستی خیلی",Hate
"لاشی.ی.ی هستی واقعا",Hate
"آشغااااال کثیف هستی",Hate
"احمق *** هستی برو بمیر",Hate
"حرومزاده کثافت آشغال",Hate
"عوضی.ی.ی برو گمشو",Hate
"نفهم بی*شرف هستی",Hate
"برو بمیر کثافت آشغال",Hate
"خیلی **** هستی نفرت انگیز",Hate
"لاشی_ی_ی هستی گمشو",Hate
"کثافت آشغال گمشو دیگه",Hate
"بی شرف عوضی نفهم هستی",Hate
"برو گمشو احمق کثیف",Hate
"ج ن د ه بی شرف هستی",Hate
"خیلی نفرت انگیزی برو بمیر",Hate
"عوضی کثافت آشغال هستی",Hate
"لاشی هستی گمشو همیشه",Hate
"ک ی ر تو کارت هستی احمق",Hate
"کانال تلگرام لینک در بیو فالو کنید",Spam
"ت خ ف ی ف و ی ژ ه امروز فقط",Spam
"شماره ت.م.ا.س 09121234567",Spam
"دایرکت بدید قیمت مناسب داریم",Spam
"پیج جدیدمون فالو کنید لینک بیو",Spam
"فروش وی.ای.پی محدود امروز",Spam
"کانال ت لگرام عضو شوید سریع",Spam
"لینک در بایو کلیک کنید تخفیف داره",Spam
"شماره تماس 0912.123.4567",Spam
"فالو فالو بک سریع انجام میشه",Spam
"قیمت ویژه فقط امروز پیام بدید",Spam
"پیج رو دنبال کنید جایزه ببرید",Spam
"کانال وی آی پی لینک بیو",Spam
"دایرکت پیام بدید قیمت بگیرید",Spam
"تخفیف پنجاه درصدی امروز فقط",Spam
"عضو کانال شوید جایزه نقدی بگیرید",Spam
"فروش ویژه امروز تماس بگیرید",Spam
"لینک بیو رو ببینید تخفیف داره",Spam
"شماره تماس زیر پیام بدید سریع",Spam
"کانال تلگرامی جدید عضو شوید",Spam
"سلاااام خوبی؟ چه خبر",Normal
"واقعا عکس قشنگی بود ***",Normal
"خییییلی خوشحالم امروز",Normal
"چقدر این غذا خوشمزه بود",Normal
"ممنون از مطلب مفیدت",Normal
"روزتون بخیر دوستان عزیز",Normal
"این آهنگ خیلی قشنگه",Normal
"واقعا کارتون عالیه",Normal
"تولدت مبارک عزیزم",Normal
"چه هوای قشنگی امروز",Normal
"خوش گذشت خیلی ممنون",Normal
"این ویدیو رو خیلی دوست داشتم",Normal
"بهترین روز زندگیم بود امروز",Normal
"دستت درد نکنه عالی بود",Normal
"چقدر بامزه است این بچه",Normal
"سفر خوبی داشتیم شکر خدا",Normal
"این کتاب رو پیشنهاد میکنم",Normal
"واقعا هنرمند خوبی هستی",Normal
"تبریک میگم موفق باشی",Normal
"امیدوارم روز خوبی داشته باشی",Normal
