"text","label"
"آرش، فردا ساعت ۹:۳۰ بیدارم کن یادت نره.","ham"
"آها","ham"
"آها آرش جان","ham"
"آها 😍","ham"
"احتراماً بازگشت به نامه 12004، مراتب جهت استحضار و صدور دستور مقتضی ارسال می‌گردد.","ham"
"احتراماً بازگشت به نامه 20608، مراتب جهت استحضار و صدور دستور مقتضی ارسال می‌گردد.","ham"
"احتراماً بازگشت به نامه 29764، مراتب جهت استحضار و صدور دستور مقتضی ارسال می‌گردد.","ham"
"احتراماً بازگشت به نامه 31279، مراتب جهت استحضار و صدور دستور مقتضی ارسال می‌گردد.","ham"
"احتراماً بازگشت به نامه 32475، مراتب جهت استحضار و صدور دستور مقتضی ارسال می‌گردد.","ham"
"احتراماً بازگشت به نامه 37646، مراتب جهت استحضار و صدور دستور مقتضی ارسال می‌گردد.","ham"
"احتراماً بازگشت به نامه 42843، مراتب جهت استحضار و صدور دستور مقتضی ارسال می‌گردد.","ham"
"احتراماً بازگشت به نامه 44750، مراتب جهت استحضار و صدور دستور مقتضی ارسال می‌گردد.","ham"
"احتراماً بازگشت به نامه 47368، مراتب جهت استحضار و صدور دستور مقتضی ارسال می‌گردد.","ham"
"احتراماً بازگشت به نامه 52010، مراتب جهت استحضار و صدور دستور مقتضی ارسال می‌گردد.","ham"
"احتراماً بازگشت به نامه 53079، مراتب جهت استحضار و صدور دستور مقتضی ارسال می‌گردد.","ham"
"احتراماً بازگشت به نامه 5915، مراتب جهت استحضار و صدور دستور مقتضی ارسال می‌گردد.","ham"
"احتراماً بازگشت به نامه 59757، مراتب جهت استحضار و صدور دستور مقتضی ارسال می‌گردد.","ham"
"احتراماً بازگشت به نامه 62180، مراتب جهت استحضار و صدور دستور مقتضی ارسال می‌گردد.","ham"
"احتراماً بازگشت به نامه 68360، مراتب جهت استحضار و صدور دستور مقتضی ارسال می‌گردد.","ham"
"احتراماً بازگشت به نامه 91499، مراتب جهت استحضار و صدور دستور مقتضی ارسال می‌گردد.","ham"
"احتراماً بازگشت به نامه 94094، مراتب جهت استحضار و صدور دستور مقتضی ارسال می‌گردد.","ham"
"احتراماً بازگشت به نامه 95559، مراتب جهت استحضار و صدور دستور مقتضی ارسال می‌گردد.","ham"
"احتراماً بازگشت به نامه 98154، مراتب جهت استحضار و صدور دستور مقتضی ارسال می‌گردد.","ham"
"احتراماً به استحضار می‌رساند جلسه استقرار به دلیل کسالت همکار محترم به 15/8 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه استقرار به دلیل کسالت همکار محترم به 7/9 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه برنامه زمان‌بندی به دلیل کسالت همکار محترم به 5/9 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه بودجه به دلیل کسالت همکار محترم به 3/11 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه تست به دلیل کسالت همکار محترم به 12/11 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه تست به دلیل کسالت همکار محترم به 16/9 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه تست به دلیل کسالت همکار محترم به 23/7 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه تست به دلیل کسالت همکار محترم به 28/11 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه طرح اولیه به دلیل کسالت همکار محترم به 13/10 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه فاز دوم به دلیل کسالت همکار محترم به 11/10 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه فاز دوم به دلیل کسالت همکار محترم به 19/10 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه فاز دوم به دلیل کسالت همکار محترم به 24/9 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه فاز دوم به دلیل کسالت همکار محترم به 8/11 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه قرارداد پشتیبانی به دلیل کسالت همکار محترم به 13/10 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه قرارداد پشتیبانی به دلیل کسالت همکار محترم به 14/12 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه قرارداد پشتیبانی به دلیل کسالت همکار محترم به 16/9 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه نمونه اولیه به دلیل کسالت همکار محترم به 12/12 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه نمونه اولیه به دلیل کسالت همکار محترم به 7/12 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه نگهداری به دلیل کسالت همکار محترم به 14/9 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه نگهداری به دلیل کسالت همکار محترم به 27/12 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه نیازمندی‌ها به دلیل کسالت همکار محترم به 14/8 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه نیازمندی‌ها به دلیل کسالت همکار محترم به 21/10 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه نیازمندی‌ها به دلیل کسالت همکار محترم به 27/12 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه نیازمندی‌ها به دلیل کسالت همکار محترم به 6/10 موکول شد.","ham"
"احتراماً به استحضار می‌رساند جلسه کمپین تبلیغاتی به دلیل کسالت همکار محترم به 10/8 موکول شد.","ham"
"احتراماً به اطلاع می‌رساند سامانه استقرار از ساعت ۱۰ 16/9 برای ارتقا در دسترس نخواهد بود.","ham"
"احتراماً به اطلاع می‌رساند سامانه برنامه زمان‌بندی از ساعت ۱۰ 5/8 برای ارتقا در دسترس نخواهد بود.","ham"
"احتراماً به اطلاع می‌رساند سامانه برنامه زمان‌بندی از ساعت ۱۱ 13/10 برای ارتقا در دسترس نخواهد بود.","ham"
"احتراماً به اطلاع می‌رساند سامانه برنامه زمان‌بندی از ساعت ۱۵ 14/9 برای ارتقا در دسترس نخواهد بود.","ham"
"احتراماً به اطلاع می‌رساند سامانه برنامه زمان‌بندی از ساعت ۱۸ 28/11 برای ارتقا در دسترس نخواهد بود.","ham"
"احتراماً به اطلاع می‌رساند سامانه برنامه زمان‌بندی از ساعت ۸ 14/9 برای ارتقا در دسترس نخواهد بود.","ham"
"احتراماً به اطلاع می‌رساند سامانه برنامه زمان‌بندی از ساعت ۹ 14/12 برای ارتقا در دسترس نخواهد بود.","ham"
"احتراماً به اطلاع می‌رساند سامانه بودجه از ساعت ۱۵ 3/11 برای ارتقا در دسترس نخواهد بود.","ham"
"احتراماً به اطلاع می‌رساند سامانه بودجه از ساعت ۱۶ 13/10 برای ارتقا در دسترس نخواهد بود.","ham"
"احتراماً به اطلاع می‌رساند سامانه بودجه از ساعت ۸ 7/9 برای ارتقا در دسترس نخواهد بود.","ham"
"احتراماً به اطلاع می‌رساند سامانه تست از ساعت ۱۲ 17/7 برای ارتقا در دسترس نخواهد بود.","ham"
"احتراماً به اطلاع می‌رساند سامانه تست از ساعت ۱۸ 19/10 برای ارتقا در دسترس نخواهد بود.","ham"
"احتراماً به اطلاع می‌رساند سامانه فاز دوم از ساعت ۱۵ 23/11 برای ارتقا در دسترس نخواهد بود.","ham"
"احتراماً به اطلاع می‌رساند سامانه فاز دوم از ساعت ۱۶ 23/7 برای ارتقا در دسترس نخواهد بود.","ham"
