text,label
پیرو تماس تلفنی، لیست قیمت محصولات پیوست است. لطفا تایید بفرمایید,ham
با سلام و احترام، مطالعات امکان‌سنجی خدمتتان ارسال کردم. لطفا تایید بفرمایید,ham
کاربر محترم، کارت بانکی شما تعلیق شده است. کد ارسال‌شده را برای ما بفرستید.,spam
عطف به نامه شماره، گزارش ماهانه در سامانه بارگذاری شد. منتظر نظر شما هستم,ham
مشترک گرامی، کارت بانکی شما دارای بدهی است. وگرنه پرونده به مراجع قضایی ارجاع می‌شود. کد ارسال‌شده را برای ما بفرستید. click.pay-ir.tk,spam
حساب شما برای دریافت ۱۰۰ میلیون ریال شدید! برای دریافت مبلغ اطلاعات خود را تایید کنید. فرصت محدود است,spam
با سلام و احترام، لیست قیمت محصولات خدمتتان ارسال کردم. با تشکر,ham
گرامی، یارانه شما در آستانه مسدودی است. برای جلوگیری از قطع. جهت تمدید اطلاعات کارت را وارد نمایید.,spam
شما برنده ۵۰ میلیون تومان شدید! برای دریافت مبلغ رمز پویای خود را ارسال نمایید. تا ۱۲ ساعت آینده معتبر است t.me/fastloan,spam
"واریز به حساب شما: 20,000 ریال. بابت: فروش",ham
مشترک گرامی، سفته شما در آستانه مسدودی است. وگرنه پرونده به مراجع قضایی ارجاع می‌شود. اطلاعات خود را تایید کنید. my-bank-ir.xyz,spam
مشترک گرامی، پایانه فروشگاهی شما در آستانه مسدودی است. تا پایان امروز فرصت دارید. مبلغ ۵۰۰ هزار تومان را واریز کنید. t.me/fastloan,spam
کاربر محترم، بسته اینترنت شما تعلیق شده است. اطلاعات خود را تایید کنید.,spam
شما برنده ۵۰ میلیون تومان شدید! برای دریافت مبلغ رمز پویای خود را ارسال نمایید. تا ۱۲ ساعت آینده معتبر است ir-verify.ir/login,spam
کاربر محترم، سفته شما غیرفعال شده است. مبلغ ۵۰۰ هزار تومان را واریز کنید.,spam
با سلام و احترام، اسکن فاکتور پیوست است. لطفا تایید بفرمایید,ham
"یادآوری: قسط وام شما به مبلغ 130,000 ریال در تاریخ ۱۴۰۵/۰7/۱7 سررسید می‌شود",ham
"مشترک گرامی، قبض این دوره شما به مبلغ 460,000 ریال صادر شد",ham
عزیز، ابلاغیه قضایی شما در آستانه مسدودی است. قبل از حذف. با شماره ۰۹۱۲۰۰۰۰۰۰۰ تماس بگیرید. ir-verify.ir/login,spam
پیرو تماس تلفنی، برآورد هزینه برایتان فرستادم. لطفا بررسی و اعلام نظر فرمایید شماره سند: 1082,ham
شما برنده ۲۰ میلیون تومان شدید! برای دریافت مبلغ مبلغ ۵۰۰ هزار تومان را واریز کنید. همین حالا اقدام کنید ir-verify.ir/login,spam
سلام، وقت بخیر، نسخه نهایی سند برایتان فرستادم. با تشکر شماره سند: 6614,ham
تبریک! شما کمک هزینه نقدی شدید! برای دریافت هدیه مبلغ ۵۰۰ هزار تومان را واریز کنید. فرصت محدود است bit.ly/3xkLm,spam
شما برنده ۵۰ میلیون تومان شدید! برای دریافت هدیه رمز پویای خود را ارسال نمایید. همین حالا اقدام کنید,spam
هموطن عزیز، سفته شما تعلیق شده است. در غیر این صورت مسدود خواهد شد. جهت تمدید اطلاعات کارت را وارد نمایید.,spam
سلام، وقت بخیر، پیش‌فاکتور ارسال شد. ارادتمند,ham
مشترک گرامی، ابلاغیه قضایی شما غیرفعال شده است. قبل از حذف. روی لینک کلیک کنید. bit.ly/3xkLm,spam
"یادآوری: قسط وام شما به مبلغ 690,000 ریال در تاریخ ۱۴۰۵/۰4/۱8 سررسید می‌شود",ham
عزیز، سفته شما به پایان رسیده است. حداکثر تا ۲۴ ساعت دیگر. اطلاعات کارت را وارد نمایید. sanam-id.ir,spam
هموطن عزیز، حساب کاربری شما تعلیق شده است. تا پایان امروز فرصت دارید. روی لینک کلیک کنید.,spam
حساب شما برای دریافت ۱۰۰ میلیون ریال شدید! برای دریافت جایزه با شماره ۰۹۱۲۰۰۰۰۰۰۰ تماس بگیرید. تا ۱۲ ساعت آینده معتبر است ir-verify.ir/login,spam
محترم، پرونده شکایت از شما در انتظار تایید است. مبلغ ۵۰۰ هزار تومان را واریز کنید. sanam-id.ir,spam
محترم، سیم‌کارت شما مسدود شده است. قبل از حذف. روی لینک کلیک کنید. ir-verify.ir/login,spam
هموطن عزیز، مرسوله پستی شما نیاز به تمدید دارد. قبل از حذف. اطلاعات کارت را وارد نمایید. t.me/fastloan,spam
شما برنده یک خودرو شدید! برای دریافت هدیه با شماره ۰۹۱۲۰۰۰۰۰۰۰ تماس بگیرید. فرصت محدود است,spam
تبریک! شما ۲۰ میلیون تومان شدید! برای دریافت هدیه روی لینک کلیک کنید. همین حالا اقدام کنید,spam
"مشتری گرامی، برداشت از حساب شما به مبلغ 60,000 ریال انجام شد. موجودی: 60,000 ریال",ham
تبریک! شما ۱۰۰ میلیون ریال شدید! برای دریافت مبلغ کد ارسال‌شده را برای ما بفرستید. همین حالا اقدام کنید t.me/fastloan,spam
محترم، کارت بانکی شما در آستانه مسدودی است. برای جلوگیری از قطع. روی لینک کلیک کنید.,spam
عزیز، سفته شما در آستانه مسدودی است. وگرنه پرونده به مراجع قضایی ارجاع می‌شود. مبلغ ۵۰۰ هزار تومان را واریز کنید.,spam
"یادآوری: قسط وام شما به مبلغ 410,000 ریال در تاریخ ۱۴۰۵/۰5/۱8 سررسید می‌شود",ham
"مشترک گرامی، قبض این دوره شما به مبلغ 610,000 ریال صادر شد",ham
"کاربر گرامی، خرید شما از درگاه پرداخت با موفقیت انجام شد (560,000 ریال)",ham
گرامی، حساب بانکی شما نیاز به تمدید دارد. قبل از حذف. اطلاعات کارت را وارد نمایید.,spam
گرامی، دسته چک شما ناقص است. وگرنه پرونده به مراجع قضایی ارجاع می‌شود. روی لینک کلیک کنید. t.me/fastloan,spam
پیرو تماس تلفنی، گزارش ماهانه برایتان فرستادم. ممنون از همکاری شما,ham
عزیز، یارانه شما مسدود شده است. در غیر این صورت مسدود خواهد شد. جهت تمدید اطلاعات کارت را وارد نمایید. sanam-id.ir,spam
پیرو تماس تلفنی، صورت‌جلسه پیوست است. لطفا بررسی و اعلام نظر فرمایید شماره سند: 4387,ham
"مشترک گرامی، قبض این دوره شما به مبلغ 840,000 ریال صادر شد",ham
مشترک گرامی، سهام عدالت شما غیرفعال شده است. حداکثر تا ۲۴ ساعت دیگر. فرم پیوست را تکمیل کنید.,spam
محترم، پایانه فروشگاهی شما نیاز به بازبینی دارد. رمز پویای خود را ارسال نمایید. ir-verify.ir/login,spam
کاربر محترم، حساب کاربری شما مسدود شده است. جهت جلوگیری از جریمه. روی لینک کلیک کنید. t.me/fastloan,spam
تبریک! شما ۱۰۰ میلیون ریال شدید! برای دریافت مبلغ رمز پویای خود را ارسال نمایید. تا ۱۲ ساعت آینده معتبر است bit.ly/3xkLm,spam
حساب شما برای دریافت ۲۰ میلیون تومان شدید! برای دریافت هدیه اطلاعات کارت را وارد نمایید. فرصت محدود است bit.ly/3xkLm,spam
گرامی، ابلاغیه قضایی شما نیاز به بازبینی دارد. جهت جلوگیری از جریمه. رمز پویای خود را ارسال نمایید. t.me/fastloan,spam
حساب شما برای دریافت کمک هزینه نقدی شدید! برای دریافت هدیه روی لینک کلیک کنید. فرصت محدود است,spam
هموطن عزیز، ابلاغیه قضایی شما به پایان رسیده است. کد ارسال‌شده را برای ما بفرستید. click.pay-ir.tk,spam
"مشترک گرامی، قبض این دوره شما به مبلغ 580,000 ریال صادر شد",ham
مشترک گرامی، پرونده مالیاتی شما دارای بدهی است. در صورت عدم اقدام حساب مسدود می‌شود. جهت تمدید اطلاعات کارت را وارد نمایید. ir-verify.ir/login,spam
کاربر محترم، سیم‌کارت شما تعلیق شده است. جهت جلوگیری از جریمه. از طریق درگاه زیر پرداخت کنید. ir-verify.ir/login,spam
کاربر محترم، ابلاغیه قضایی شما مسدود شده است. تا پایان امروز فرصت دارید. جهت تمدید اطلاعات کارت را وارد نمایید.,spam
گرامی، سیم‌کارت شما نیاز به بازبینی دارد. اطلاعات کارت را وارد نمایید. t.me/fastloan,spam
