"text","label"
"آرش تولدش چهارشنبه هست، کادو چی بگیریم؟","ham"
"آرش جان، الو؟","ham"
"آرش جان، باشه باشه","ham"
"آره حتماً","ham"
"آره حتماً 👌","ham"
"آره حتماً، قربون لطفتم","ham"
"آسانسور برای سرویس دوره‌ای جمعه از ساعت ۱۰ تا ۱۲ خاموش خواهد بود.","ham"
"آسانسور برای سرویس دوره‌ای سه‌شنبه از ساعت ۱۰ تا ۱۲ خاموش خواهد بود.","ham"
"آسانسور برای سرویس دوره‌ای شنبه از ساعت ۱۰ تا ۱۲ خاموش خواهد بود.","ham"
"آسانسور برای سرویس دوره‌ای پنجشنبه از ساعت ۱۰ تا ۱۲ خاموش خواهد بود.","ham"
"آسانسور برای سرویس دوره‌ای چهارشنبه از ساعت ۱۰ تا ۱۲ خاموش خواهد بود.","ham"
"آفرین بهت","ham"
"آفرین بهت 🌸","ham"
"آفرین بهت، مراقب خودت باش","ham"
"اشتراک شما تمدید شد و تا 1/9 معتبر است. از همراهی شما سپاسگزاریم.","ham"
"اشتراک شما تمدید شد و تا 10/10 معتبر است. از همراهی شما سپاسگزاریم.","ham"
"اشتراک شما تمدید شد و تا 10/8 معتبر است. از همراهی شما سپاسگزاریم.","ham"
"اشتراک شما تمدید شد و تا 11/9 معتبر است. از همراهی شما سپاسگزاریم.","ham"
"اشتراک شما تمدید شد و تا 22/8 معتبر است. از همراهی شما سپاسگزاریم.","ham"
"اشتراک شما تمدید شد و تا 22/9 معتبر است. از همراهی شما سپاسگزاریم.","ham"
"اشتراک شما تمدید شد و تا 23/8 معتبر است. از همراهی شما سپاسگزاریم.","ham"
"اشتراک شما تمدید شد و تا 24/9 معتبر است. از همراهی شما سپاسگزاریم.","ham"
"اشتراک شما تمدید شد و تا 25/8 معتبر است. از همراهی شما سپاسگزاریم.","ham"
"اشتراک شما تمدید شد و تا 27/10 معتبر است. از همراهی شما سپاسگزاریم.","ham"
"اشتراک شما تمدید شد و تا 28/12 معتبر است. از همراهی شما سپاسگزاریم.","ham"
"اشتراک شما تمدید شد و تا 28/8 معتبر است. از همراهی شما سپاسگزاریم.","ham"
"اشتراک شما تمدید شد و تا 7/11 معتبر است. از همراهی شما سپاسگزاریم.","ham"
"الو؟","ham"
"الو؟ 💚","ham"
"الو؟، خبرم کن","ham"
"امتحان درس آمار کاربردی به جمعه موکول شد. ساعت و مکان بدون تغییر است.","ham"
"امتحان درس آمار کاربردی به سه‌شنبه موکول شد. ساعت و مکان بدون تغییر است.","ham"
"امتحان درس آمار کاربردی به چهارشنبه موکول شد. ساعت و مکان بدون تغییر است.","ham"
"امتحان درس ترمودینامیک به سه‌شنبه موکول شد. ساعت و مکان بدون تغییر است.","ham"
"امتحان درس حسابداری ۲ به یکشنبه موکول شد. ساعت و مکان بدون تغییر است.","ham"
"امتحان درس روانشناسی عمومی به سه‌شنبه موکول شد. ساعت و مکان بدون تغییر است.","ham"
"امتحان درس روانشناسی عمومی به شنبه موکول شد. ساعت و مکان بدون تغییر است.","ham"
"امتحان درس روانشناسی عمومی به پنجشنبه موکول شد. ساعت و مکان بدون تغییر است.","ham"
"امتحان درس ریاضی مهندسی به جمعه موکول شد. ساعت و مکان بدون تغییر است.","ham"
"امتحان درس زبان تخصصی به دوشنبه موکول شد. ساعت و مکان بدون تغییر است.","ham"
"امتحان درس زبان تخصصی به پنجشنبه موکول شد. ساعت و مکان بدون تغییر است.","ham"
"امتحان درس مدار الکتریکی به جمعه موکول شد. ساعت و مکان بدون تغییر است.","ham"
"امتحان درس مدار الکتریکی به دوشنبه موکول شد. ساعت و مکان بدون تغییر است.","ham"
"امتحان درس مدار الکتریکی به چهارشنبه موکول شد. ساعت و مکان بدون تغییر است.","ham"
"امتحان درس مدار الکتریکی به یکشنبه موکول شد. ساعت و مکان بدون تغییر است.","ham"
"امتحان درس مدار منطقی به شنبه موکول شد. ساعت و مکان بدون تغییر است.","ham"
"امشب تلویزیون چی هست؟","ham"
"امیر جان، بزن بریم","ham"
"امیر جان، خبر جدیدی نیست","ham"
"انتخاب واحد نیم‌سال جدید از جمعه آغاز می‌شود. مهلت حذف و اضافه: یک هفته.","ham"
"انتخاب واحد نیم‌سال جدید از دوشنبه آغاز می‌شود. مهلت حذف و اضافه: یک هفته.","ham"
"انتخاب واحد نیم‌سال جدید از سه‌شنبه آغاز می‌شود. مهلت حذف و اضافه: یک هفته.","ham"
"انتخاب واحد نیم‌سال جدید از شنبه آغاز می‌شود. مهلت حذف و اضافه: یک هفته.","ham"
"انتخاب واحد نیم‌سال جدید از پنجشنبه آغاز می‌شود. مهلت حذف و اضافه: یک هفته.","ham"
"انتخاب واحد نیم‌سال جدید از چهارشنبه آغاز می‌شود. مهلت حذف و اضافه: یک هفته.","ham"
"انتخاب واحد نیم‌سال جدید از یکشنبه آغاز می‌شود. مهلت حذف و اضافه: یک هفته.","ham"
"انتقال کارت به کارت به مبلغ ۱,۲۰۰,۰۰۰ ریال انجام شد. کارمزد: ۱,۰۰۰ ریال.","ham"
"انتقال کارت به کارت به مبلغ ۱,۲۰۰,۰۰۰ ریال انجام شد. کارمزد: ۷۲۰ ریال.","ham"
"انتقال کارت به کارت به مبلغ ۱۲,۵۰۰,۰۰۰ ریال انجام شد. کارمزد: ۲,۵۰۰ ریال.","ham"
"انتقال کارت به کارت به مبلغ ۱۲,۵۰۰,۰۰۰ ریال انجام شد. کارمزد: ۷۲۰ ریال.","ham"
"انتقال کارت به کارت به مبلغ ۲,۳۰۰,۰۰۰ ریال انجام شد. کارمزد: ۱,۰۰۰ ریال.","ham"
"انتقال کارت به کارت به مبلغ ۲,۳۰۰,۰۰۰ ریال انجام شد. کارمزد: ۲,۵۰۰ ریال.","ham"
