"text","label"
"internet rayegan 10 gige! code faalsazi simkartet ro vared kon","spam"
"natije azmoon omad, man ke kharab kardam 👌","ham"
"in payam ro baraye 10 nafar beferest ta khabare khub beshnavi","spam"
"akante shoma hack shode! code 6 raghami ro befrest ta bargardoonam","spam"
"on ketabe ro peyda kardam, biaram barat?","ham"
"farda sobh zood bidar kon ke dir narsam","ham"
"100% soode tazmini dar 1 mah! faghat baraye 10 nafar","spam"
"bazi dishab ro didi? bavar nakardani bod 😉","ham"
"lotfan addresso befrest, location nemiyad","ham"
"age dereng shod khodam miam donbalet","ham"
"Salam, khobi? che khabara?","ham"
"barande shodid! baray daryaft jayze adade 1 ro befrestid","spam"
"gharze bedune zaman va zamen! hamin alan darkhast bedid","spam"
"ok pas hamin kar ro mikonim","ham"
"in axo bebin khei khande dare","ham"
"lotfan ramze pooya ro poshte telefon bekhoonid ta hesab amn beshe","spam"
"bache ha daran miyan, miz ro bichin","ham"
"daramade dollarie roozane, faghat ba ye click! sabtenam konid","spam"
"ok mersiii, dastet dard nakone","ham"
"SALAM! SHOMA BARANDE SHODID! BARAYE DARYAFTE JAYEZE CODE BEFRESTID","spam"
"farda sobh zood bidar kon ke dir narsam :)","ham"
"ghorbanet, mersi ke gofti","ham"
"VALAM FORI BI ZAMEN! faghat ba code melli, hamin emshab","spam"
"damet garm, kheili komak kardi","ham"
"VALAM FORI BI ZAMEN! faghat ba code melli, hamin emshab","spam"
"On film ro didi? bedoon spoil begoo","ham"
"Kelas farda tashkil nemishe, ostad goft","ham"
"kelas farda tashkil nemishe, ostad goft","ham"
"SALAM! SHOMA BARANDE SHODID! BARAYE DARYAFTE JAYEZE CODE BEFRESTID","spam"
"SIB CHE DOOST DARI? ba install in barname 100 hezar toman charge begir","spam"
"TAKHFIF VIJE 70% faghat ta emshab! click: bit.ly/0b7a","spam"
"pool sharj ro card be card kardam","ham"
"shoma barande khosh shanse in hafte hastid! baray moshahede vorood shavid","spam"
"ok pas hamin kar ro mikonim","ham"
"salam neda jan, khoobi? che khabar?","ham"
"kharide follower vaghei instagram, 1000 ta 25 toman","spam"
"bebin farda chi mishe, bad harf mizanim","ham"
"pool sharj ro card be card kardam 🙏","ham"
"bazi dishab ro didi? bavar nakardani bod","ham"
"SIB CHE DOOST DARI? ba install in barname 100 hezar toman charge begir","spam"
"damet garm, kheili komak kardi","ham"
"nemidoonam vaght konam biyam, exam daram","ham"
"On film ro didi? bedoon spoil begoo 👌","ham"
"lotfan ramze pooya ro poshte telefon bekhoonid ta hesab amn beshe","spam"
"آدرسو بفرست، لوکیشن برام نمیاد مرسی","ham"
"mersi az hame chi, lotf kardi","ham"
"VALAM FORI BI ZAMEN! faghat ba code melli, hamin emshab","spam"
"ba in dastoore jadid roozane 2 million daramad dashte bash","spam"
"damet garm, kheili komak kardi","ham"
"Baba bi kheyal, dorost mishe 😂","ham"
"salam, farda mitooni biay?","ham"
"bazi dishab ro didi? bavar nakardani bod","ham"
"لوکیشن بفرست تا پیدات کنم","ham"
"on film ro didi? bedoon spoil begoo 😂","ham"
"sham chi dorost konam? pishnahad bede","ham"
"daramade dollarie roozane, faghat ba ye click! sabtenam konid","spam"
"jozve jalse ghabl ro dari? axesho beferest","ham"
"ba in dastoore jadid roozane 2 million daramad dashte bash","spam"
"Kelas farda tashkil nemishe, ostad goft","ham"
"kharide follower vaghei instagram, 1000 ta 25 toman","spam"
"khaste nabashi dadash","ham"
"ba mobile daram javab midam, motavajeh bash","ham"
"che khabar az behzad? khabari nadari? :)","ham"
"In hafte kheili saram sholooghe bood","ham"
"ok, pas gharar ro mizanim baraye shanbe","ham"
"maman mige sham biay, ghormeh sabzi dare","ham"
"gharze bedune zaman va zamen! hamin alan darkhast bedid","spam"
"TAKHFIF VIJE 70% faghat ta emshab! click: bit.ly/0192","spam"
"Bache ha daran miyan, miz ro bichin","ham"
"man 10 dighe mirsam, تو راهم","ham"
"lotfan code ersali ro befrest ta moshkelet hal beshe, man poshtibani hastam","spam"
"on film ro didi? bedoon spoil begoo","ham"
"barande shodid! baray daryaft jayze adade 1 ro befrestid","spam"
"che khabar az sara? khabari nadari? :)","ham"
"lotfan code ersali ro befrest ta moshkelet hal beshe, man poshtibani hastam","spam"
"Hava sard shode, moragheb khodet bash","ham"
"آدرس مطب رو بفرست لطفاً 🙏","ham"
"akante shoma hack shode! code 6 raghami ro befrest ta bargardoonam","spam"
"in payam ro baraye 10 nafar beferest ta khabare khub beshnavi","spam"
"Nemidoonam vaght konam biyam, exam daram","ham"
"bache ha daran miyan, miz ro bichin 👌","ham"
"salam, residim khoone, khialet rah","ham"
"Bazi dishab ro didi? bavar nakardani bod","ham"
"koojaee? montazeram jelo dar","ham"
"salam, farda mitooni biay?","ham"
"farda sobh zood bidar kon ke dir narsam","ham"
"Salam leyla jan, khoobi? che khabar?","ham"
"emshab base? saaat chand?","ham"
"آیدی تلگرامتو بده هماهنگ کنیم دمت گرم","ham"
"nemidoonam vaght konam biyam, exam daram","ham"
"salam, farda mitooni biay? 😂","ham"
"آدرسو بفرست، لوکیشن برام نمیاد عزیزم","ham"
"SALAM! SHOMA BARANDE SHODID! BARAYE DARYAFTE JAYEZE CODE BEFRESTID","spam"
"fek konam eshtebah shode, dobare check kon","ham"
"salam, farda mitooni biay? ❤️","ham"
"kheili mamnoon az lotfet","ham"
"ba in dastoore jadid roozane 2 million daramad dashte bash","spam"
"یه اسکرین‌شات بگیر بفرست","ham"
"ghorbanet, mersi ke gofti","ham"
"bache ha daran miyan, miz ro bichin 🙏","ham"
"bazi dishab ro didi? bavar nakardani bod","ham"
"100% soode tazmini dar 1 mah! faghat baraye 10 nafar","spam"
"lotfan ramze pooya ro poshte telefon bekhoonid ta hesab amn beshe","spam"
"mersi az hame chi, lotf kardi","ham"
"ghorbanet, mersi ke gofti","ham"
"Emshab base? saaat chand? ❤️","ham"
"SIB CHE DOOST DARI? ba install in barname 100 hezar toman charge begir","spam"
"یه اسکرین‌شات بگیر بفرست 🙏","ham"
"bebin farda chi mishe, bad harf mizanim","ham"
"hava sard shode, moragheb khodet bash","ham"
"akante shoma hack shode! code 6 raghami ro befrest ta bargardoonam","spam"
"akante shoma hack shode! code 6 raghami ro befrest ta bargardoonam","spam"
"عکساشو بفرست ببینم چطوریه 🙏","ham"
"bache ha daran miyan, miz ro bichin","ham"
"salam, residim khoone, khialet rah","ham"
"fek konam eshtebah shode, dobare check kon","ham"
"In hafte kheili saram sholooghe bood 🙏","ham"
"kelas farda tashkil nemishe, ostad goft","ham"
"barande shodid! baray daryaft jayze adade 1 ro befrestid","spam"
"salam, farda mitooni biay?","ham"
"lotfan ramze pooya ro poshte telefon bekhoonid ta hesab amn beshe","spam"
"sham chi dorost konam? pishnahad bede","ham"
"kheili mamnoon az lotfet","ham"
"نشونی خونه‌تون رو بفرست، فردا میام دمت گرم","ham"
"kharide follower vaghei instagram, 1000 ta 25 toman","spam"
"Mersi az hame chi, lotf kardi","ham"
"Sham chi dorost konam? pishnahad bede 😂","ham"
"Koojaee? montazeram jelo dar","ham"
"In hafte kheili saram sholooghe bood","ham"
"ba in dastoore jadid roozane 2 million daramad dashte bash","spam"
"lotfan zang bezan behem, kari daram","ham"
"daramade dollarie roozane, faghat ba ye click! sabtenam konid","spam"
"file ro didam, alie bod. damet garm 😉","ham"
"آدرسو بفرست، لوکیشن برام نمیاد","ham"
"ba in dastoore jadid roozane 2 million daramad dashte bash","spam"
"damet garm, kheili komak kardi 🙏","ham"
"SALAM! SHOMA BARANDE SHODID! BARAYE DARYAFTE JAYEZE CODE BEFRESTID","spam"
"salam, residim khoone, khialet rah","ham"
"ghorbanet, mersi ke gofti","ham"
"sham chi dorost konam? pishnahad bede","ham"
"Khoobe, pas farda mibinamet","ham"
"Bazi dishab ro didi? bavar nakardani bod","ham"
"daramade dollarie roozane, faghat ba ye click! sabtenam konid","spam"
"kolir ro roshan kardam, khonak shod","ham"
"salam aghaye mina, gozaresh ro ferestadam","ham"
"SALAM! SHOMA BARANDE SHODID! BARAYE DARYAFTE JAYEZE CODE BEFRESTID","spam"
"یه اسکرین‌شات بگیر بفرست عزیزم","ham"
"natije azmoon omad, man ke kharab kardam","ham"
"آدرس مطب رو بفرست لطفاً","ham"
"in payam ro baraye 10 nafar beferest ta khabare khub beshnavi","spam"
"file ro didam, alie bod. damet garm","ham"
"عکس فاکتور رو بفرست برای حسابداری","ham"
"shoma barande khosh shanse in hafte hastid! baray moshahede vorood shavid","spam"
"man ye kam dir miresam, traffice","ham"
"manam hamin tor fekr mikonam","ham"
"daramade dollarie roozane, faghat ba ye click! sabtenam konid","spam"
"SALAM! SHOMA BARANDE SHODID! BARAYE DARYAFTE JAYEZE CODE BEFRESTID","spam"
"PEYGHAME FORI: hesab shoma dar ayande nazdik masdood mishavad","spam"
"لیست خرید رو بفرست یادم نره مرسی","ham"
"manam hamin tor fekr mikonam","ham"
"Ok, pas gharar ro mizanim baraye panjshanbe","ham"
"kharide follower vaghei instagram, 1000 ta 25 toman","spam"
"che khabar az omid? khabari nadari? 🙏","ham"
"manam hamin tor fekr mikonam","ham"
"شماره‌شو بده خودم زنگ می‌زنم مرسی","ham"
"akante shoma hack shode! code 6 raghami ro befrest ta bargardoonam","spam"
"ba in dastoore jadid roozane 2 million daramad dashte bash","spam"
"on ketabe ro peyda kardam, biaram barat?","ham"
"شماره حسابش رو بفرست واریز کنم 🙏","ham"
"barande shodid! baray daryaft jayze adade 1 ro befrestid","spam"
"on ketabe ro peyda kardam, biaram barat?","ham"
"100% soode tazmini dar 1 mah! faghat baraye 10 nafar","spam"
"shoma barande khosh shanse in hafte hastid! baray moshahede vorood shavid","spam"
"SALAM! SHOMA BARANDE SHODID! BARAYE DARYAFTE JAYEZE CODE BEFRESTID","spam"
"gharze bedune zaman va zamen! hamin alan darkhast bedid","spam"
"Kheili mamnoon az lotfet","ham"
"آیدی تلگرامتو بده هماهنگ کنیم دمت گرم","ham"
"salam reza jan, khoobi? che khabar? 😉","ham"
"Bazi dishab ro didi? bavar nakardani bod","ham"
"ok pas hamin kar ro mikonim","ham"
"PEYGHAME FORI: hesab shoma dar ayande nazdik masdood mishavad","spam"
"shoma barande khosh shanse in hafte hastid! baray moshahede vorood shavid","spam"
"aaa jddi? chi shodi?! 😂","ham"
"لیست خرید رو بفرست یادم نره","ham"
"salam aghaye hossein, gozaresh ro ferestadam","ham"
