"text","label"
"با سلام، تبریک! شما برنده خوش‌شانس این هفته هستید. برای مشاهده جایزه وارد شوید.","spam"
"با سلام، اشتراک شما تمدید شد و تا پایان دوره معتبر است. از همراهی شما سپاسگزاریم.","ham"
"مشترک عزیز، گوشی شما ویروسی شده است! برای پاکسازی فوری، برنامه امنیتی را نصب کنید.","spam"
"کاربر گرامی، متقاضی گرامی، درخواست مهاجرت شما تأیید شد. برای ادامه مراحل، مبلغ ۸۰۰ هزار تومان هزینه دبیرخانه واریز کنید.","spam"
"کاربر عزیز، مشترک گرامی، شما واجد شرایط دریافت 10 گیگ اینترنت رایگان هستید. برای فعال‌سازی، کد فعال‌سازی سیم‌کارت را وارد کنید.","spam"
"کد تأییدی که الان برایتان آمد را برای من بفرستید تا رفع مسدودی شما را برگردانم.","spam"
"با سلام، اشتراک شما تمدید شد و تا پایان دوره معتبر است. از همراهی شما سپاسگزاریم.","ham"
"کاربر محترم، یک اعتبار خرید بلااستفاده در حساب شما باقی مانده است. در صورت عدم استفاده تا چند ساعت آینده حذف می‌شود.","spam"
"سلام، برای فعال‌سازی مجدد شما به کد ارسال‌شده به گوشیتان نیاز دارم. لطفاً آن را بفرستید.","spam"
"کاربر عزیز، سهامدار گرامی، به دلیل ناقص بودن اطلاعات هویتی، معاملات شما تا اطلاع ثانوی متوقف شده است.","spam"
"مشترک عزیز، هموطن گرامی، خلافی خودروی شما به مبلغ یک میلیون تومان ثبت شده است. جهت جلوگیری از جریمه مضاعف، فورا پرداخت نمایید.","spam"
"کاربر عزیز، همکار گرامی، یادآوری می‌شود مهلت تمدید بیمه تکمیلی پایان ماه است. تمدید از پنل کارکنان.","ham"
"سلام، شکایتی علیه شما ثبت شده است. برای مشاهده متن شکایت و جلوگیری از ارجاع به مراجع، فوراً وارد شوید.","spam"
"همراه گرامی، کارگزار محترم، قوانین جدید مالیاتی نیازمند تأیید مجدد حساب معاملاتی شماست. در صورت عدم اقدام تا چند ساعت آینده حساب مسدود می‌شود.","spam"
"کاربر محترم، مانده اعتبار شما ۲۰۰ هزار تومان است و تا ۲۴ ساعت آینده قابل استفاده می‌باشد. پس از آن حذف خواهد شد. همین حالا اقدام کنید.","spam"
"همراه گرامی، جلسه آموزشی رایگان ما فردا برگزار می‌شود. ظرفیت محدود است و ثبت‌نام تنها تا چند ساعت دیگر باز است.","spam"
"اگه این پیام رو فوروارد نکنی اتفاق بدی می‌افته. باور کن!","spam"
"مشترک گرامی، بسته اینترنت شما فردا منقضی می‌شود. برای تمدید می‌توانید از اپلیکیشن یا شماره‌گیری #۱*۴* استفاده کنید.","ham"
"مشترک عزیز، جلسه آموزشی رایگان ما پنجشنبه برگزار می‌شود. ظرفیت محدود است و ثبت‌نام تنها تا چند ساعت دیگر باز است.","spam"
"کاربر گرامی، پرونده ویزای شما در مرحله نهایی است. جهت صدور، هزینه کارمزد را تا پایان امروز پرداخت نمایید.","spam"
"همراه گرامی، یک سند گوگل با عنوان «گزارش حسابرسی» با شما به اشتراک گذاشته شد. برای مشاهده، وارد حساب گوگل خود شوید.","spam"
"کاربر گرامی، پرونده ویزای شما در مرحله نهایی است. جهت صدور، هزینه کارمزد را تا پایان این ماه پرداخت نمایید.","spam"
"همراه گرامی، با سلام، درخواست همکاری شما در وضعیت نیمه‌فعال قرار دارد. برای نهایی شدن، تصویر مدرک شناسایی خود را ارسال نمایید.","spam"
"من کارشناس امنیت هستم. رمز پویای خود را پشت تلفن بخوانید تا حساب را امن کنیم.","spam"
"مشترک عزیز، تبریک! شما برنده خوش‌شانس این هفته هستید. برای مشاهده جایزه وارد شوید.","spam"
"مشترک عزیز، فرصت شغلی دورکاری با درآمد ثابت ماهانه برای شما رزرو شده است. جهت فعال‌سازی، اطلاعات تماس خود را بفرستید.","spam"
"کاربر عزیز، هموطن گرامی، خلافی خودروی شما به مبلغ یک میلیون تومان ثبت شده است. جهت جلوگیری از جریمه مضاعف، فورا پرداخت نمایید.","spam"
"مشتری گرامی، با سلام، درخواست همکاری شما در وضعیت نیمه‌فعال قرار دارد. برای نهایی شدن، تصویر مدرک شناسایی خود را ارسال نمایید.","spam"
"با سلام، یک اعتبار خرید بلااستفاده در حساب شما باقی مانده است. در صورت عدم استفاده تا ساعت ۲۴ امشب حذف می‌شود.","spam"
"به نیت 10 معصوم این پیام رو بفرست و ثوابش رو ببر.","spam"
"شکایتی علیه شما ثبت شده است. برای مشاهده متن شکایت و جلوگیری از ارجاع به مراجع، فوراً وارد شوید.","spam"
"کاربر محترم، هشدار: باتری گوشی شما به شدت آسیب دیده است. همین حالا نرم‌افزار تعمیر را نصب کنید.","spam"
"با سلام، با سلام، درخواست همکاری شما در وضعیت نیمه‌فعال قرار دارد. برای نهایی شدن، تصویر مدرک شناسایی خود را ارسال نمایید.","spam"
"همراه گرامی، شما 1000مین بازدیدکننده سایت هستید! برای دریافت هدیه، ظرف 2 دقیقه پاسخ دهید.","spam"
"کد تأییدی که الان برایتان آمد را برای من بفرستید تا بازیابی اکانت شما را برگردانم.","spam"
"هرکی نخونه ضرر کرده! فوری برای همه بفرست.","spam"
"با سلام، متقاضی گرامی، درخواست مهاجرت شما تأیید شد. برای ادامه مراحل، مبلغ ۵۰۰ هزار تومان هزینه دبیرخانه واریز کنید.","spam"
"این پیام رو برای 7 نفر بفرست وگرنه ضرر می‌کنی.","spam"
"همکار گرامی، یادآوری می‌شود مهلت تمدید بیمه تکمیلی پایان ماه است. تمدید از پنل کارکنان.","ham"
"مشتری گرامی، مشترک گرامی، شما واجد شرایط دریافت 10 گیگ اینترنت رایگان هستید. برای فعال‌سازی، کد فعال‌سازی سیم‌کارت را وارد کنید.","spam"
"مشترک عزیز، قبض برق شما معوق شده است. برای جلوگیری از قطع انشعاب تا ۲۴ ساعت آینده از طریق درگاه پرداخت کنید.","spam"
"همراه گرامی، جلسه آموزشی رایگان ما فردا برگزار می‌شود. ظرفیت محدود است و ثبت‌نام تنها تا چند ساعت دیگر باز است.","spam"
"مشترک عزیز، با سلام، درخواست همکاری شما در وضعیت نیمه‌فعال قرار دارد. برای نهایی شدن، تصویر مدرک شناسایی خود را ارسال نمایید.","spam"
"هرکی این پیام رو برای 14 نفر بفرست تا فردا خبر خوش می‌شنوه.","spam"
"کاربر عزیز، سهامدار گرامی، به دلیل ناقص بودن اطلاعات هویتی، معاملات شما تا اطلاع ثانوی متوقف شده است.","spam"
"کاربر محترم، فرصت شغلی دورکاری با درآمد ثابت ماهانه برای شما رزرو شده است. جهت فعال‌سازی، اطلاعات تماس خود را بفرستید.","spam"
"همراه گرامی، کد هدیه استفاده‌نشده‌ای در حساب شما وجود دارد. در صورت عدم استفاده تا پایان این ماه باطل می‌شود. برای مشاهده جزئیات کلیک کنید.","spam"
"هرکی این پیام رو برای 12 نفر بفرست تا فردا خبر خوش می‌شنوه.","spam"
"با سلام، شکایتی علیه شما ثبت شده است. برای مشاهده متن شکایت و جلوگیری از ارجاع به مراجع، فوراً وارد شوید.","spam"
"همراه گرامی، گوشی شما ویروسی شده است! برای پاکسازی فوری، برنامه امنیتی را نصب کنید.","spam"
"مشترک عزیز، ورود ناشناس به حساب کاربری شما ثبت شده است. اگر شما نبودید، سریعاً رمز خود را از طریق لینک تغییر دهید.","spam"
"کاربر محترم، یک اعتبار خرید بلااستفاده در حساب شما باقی مانده است. در صورت عدم استفاده تا پایان این ماه حذف می‌شود. همین حالا اقدام کنید.","spam"
"کاربر گرامی، هشدار: باتری گوشی شما به شدت آسیب دیده است. همین حالا نرم‌افزار تعمیر را نصب کنید.","spam"
"سلام من از پشتیبانی همراه بانک تماس می‌گیرم. برای حل مشکل شما، کد 4 رقمی که پیامک شد را بفرستید.","spam"
"به نیت 12 معصوم این پیام رو بفرست و ثوابش رو ببر.","spam"
"آگهی استخدام کارشناس فروش در شرکت معتبر؛ رزومه خود را به ایمیل درج‌شده در سایت ارسال کنید.","ham"
"کاربر محترم، تبریک! شما برنده خوش‌شانس این هفته هستید. برای مشاهده جایزه وارد شوید.","spam"
"***تخفیف*** فقط امروز: bit.ly/56we","spam"
"کاربر گرامی، کد هدیه استفاده‌نشده‌ای در حساب شما وجود دارد. در صورت عدم استفاده تا چند ساعت آینده باطل می‌شود. برای مشاهده جزئیات کلیک کنید.","spam"
"کاربر گرامی، شما 1000مین بازدیدکننده سایت هستید! برای دریافت هدیه، ظرف 10 دقیقه پاسخ دهید.","spam"
"کد تأییدی که الان برایتان آمد را برای من بفرستید تا فعال‌سازی مجدد شما را برگردانم.","spam"
"همراه گرامی، پیشنهاد ویژه همکاری: ماهانه ۳۰ میلیون تومان از منزل. برای دریافت جزئیات، مشخصات را به همین شماره بفرستید.","spam"
"کاربر عزیز، پیشنهاد ویژه همکاری: ماهانه ۳۰ میلیون تومان از منزل. برای دریافت جزئیات، مشخصات را به همین شماره بفرستید.","spam"
"مشترک گرامی، بسته اینترنت شما فردا منقضی می‌شود. برای تمدید می‌توانید از اپلیکیشن یا شماره‌گیری #۱*۴* استفاده کنید.","ham"
"کاربر گرامی، قبض برق شما معوق شده است. برای جلوگیری از قطع انشعاب تا پایان هفته از طریق درگاه پرداخت کنید.","spam"
"از بانک اینستاگرام تماس می‌گیرم. برای جلوگیری از سوءاستفاده، کد پیامک‌شده را همین حالا اعلام کنید.","spam"
"کاربر عزیز، آخرین فرصت ثبت‌نام در وبینار رایگان! فقط 3 صندلی باقی مانده است.","spam"
"هرکی نخونه ضرر کرده! فوری برای همه بفرست.","spam"
"همکار گرامی، یادآوری می‌شود مهلت تمدید بیمه تکمیلی پایان ماه است. تمدید از پنل کارکنان.","ham"
"تبریک! شما برنده خوش‌شانس این هفته هستید. برای مشاهده جایزه وارد شوید.","spam"
"سلام، برای بازیابی اکانت شما به کد ارسال‌شده به گوشیتان نیاز دارم. لطفاً آن را بفرستید.","spam"
"فرصت شغلی دورکاری با درآمد ثابت ماهانه برای شما رزرو شده است. جهت فعال‌سازی، اطلاعات تماس خود را بفرستید.","spam"
"کاربر محترم، هشدار: باتری گوشی شما به شدت آسیب دیده است. همین حالا نرم‌افزار تعمیر را نصب کنید.","spam"
"مشترک عزیز، یک اعتبار خرید بلااستفاده در حساب شما باقی مانده است. در صورت عدم استفاده تا ۲۴ ساعت آینده حذف می‌شود. برای استفاده وارد شوید.","spam"
"سلام من از پشتیبانی همراه بانک تماس می‌گیرم. برای حل مشکل شما، کد 4 رقمی که پیامک شد را بفرستید.","spam"
"از بانک اینستاگرام تماس می‌گیرم. برای جلوگیری از سوءاستفاده، کد پیامک‌شده را همین حالا اعلام کنید.","spam"
"سلام، با سلام، درخواست همکاری شما در وضعیت نیمه‌فعال قرار دارد. برای نهایی شدن، تصویر مدرک شناسایی خود را ارسال نمایید.","spam"
"همراه گرامی، یک پیام جدید درباره پرونده مالی شما ثبت شده است. برای مشاهده و جلوگیری از تأخیر، وارد سامانه شوید.","spam"
"مشتری گرامی، پرونده ویزای شما در مرحله نهایی است. جهت صدور، هزینه کارمزد را تا ساعت ۲۴ امشب پرداخت نمایید.","spam"
"سلام، برای بازیابی اکانت شما به کد ارسال‌شده به گوشیتان نیاز دارم. لطفاً آن را بفرستید.","spam"
"این پیام رو قطع نکن و برای 10 نفر بفرست تا حاجتت برآورده بشه.","spam"
"سلام، برای بازیابی اکانت شما به کد ارسال‌شده به گوشیتان نیاز دارم. لطفاً آن را بفرستید.","spam"
"هرکی این پیام رو برای 20 نفر بفرست تا فردا خبر خوش می‌شنوه.","spam"
"سلام من از پشتیبانی بانک تماس می‌گیرم. برای حل مشکل شما، کد 4 رقمی که پیامک شد را بفرستید.","spam"
"سلام، سهامدار گرامی، به دلیل ناقص بودن اطلاعات هویتی، معاملات شما تا اطلاع ثانوی متوقف شده است.","spam"
